group,scenario,a_tag,linex_a,seed,train_run_id,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maintenance_run_id,maint_count,early_count,fail_count,total_cost,maintenance_utilization
G4,A_sigma_1,a_0p1,0.1,1,20260327_230706_335182,3.8257932662963867,2.8939671516418457,1530.162109375,-2.0842995643615723,0.23574933937334844,0.009060022650056626,0.0,5.4727983474731445,9.879884719848633,20260328_080536_396822,160,31,23,682.0,1.0
G4,A_sigma_1,a_0p1,0.1,2,20260327_230822_627012,4.390942573547363,3.357363224029541,2005.758544921875,-0.7597475051879883,0.45960739901849756,0.06700641751604379,0.005473763684409211,5.659874439239502,9.747489166259767,20260328_080536_531365,160,21,29,782.0,1.0
G4,A_sigma_1,a_0p2,0.2,0,20260327_230939_124680,5.432928562164307,4.158239364624023,2357.58984375,-3.357464551925659,0.2287655719139298,0.009626274065685165,0.0,5.529413223266602,9.669455337524415,20260328_080536_666658,160,44,26,768.0,1.0
G4,A_sigma_1,a_0p2,0.2,1,20260327_231056_139842,5.968966960906982,4.660709381103516,2780.70361328125,-3.132472515106201,0.304643261608154,0.032465081162702907,0.00018875047187617969,5.697698593139648,9.892432689666748,20260328_080536_800996,160,26,29,792.0,1.0
G4,A_sigma_1,a_0p2,0.2,2,20260327_231214_256395,5.350963592529297,4.020761966705322,2300.454345703125,-3.073794364929199,0.28123820309550773,0.007172517931294828,0.0,5.5067620277404785,9.61279993057251,20260328_080536_936119,160,21,30,802.0,1.0
G4,A_sigma_1,a_0p3,0.3,0,20260327_231330_948300,6.852150917053223,5.351770401000977,3224.06494140625,-4.747228145599365,0.19837674594186486,0.0015100037750094375,0.0,5.448347091674805,9.635203742980957,20260328_080537_082223,160,29,32,858.0,1.0
G4,A_sigma_1,a_0p3,0.3,1,20260327_231448_403697,7.081950664520264,5.687106132507324,3429.618408203125,-5.24126672744751,0.12004530011325028,0.006417516043790109,0.0,5.4962568283081055,9.666445827484132,20260328_080537_225444,160,15,27,730.0,1.0
G4,A_sigma_1,a_0p3,0.3,2,20260327_231605_966374,6.740171432495117,5.3236775398254395,3235.389892578125,-4.306400775909424,0.21593053982634958,0.01736504341260853,0.003020007550018875,5.419116497039795,9.446534538269043,20260328_080537_368797,160,26,35,912.0,1.0
G4,A_sigma_1,a_0p4,0.4,0,20260327_231722_858437,7.286355495452881,5.631551265716553,3505.447265625,-4.981886863708496,0.1989429973574934,0.007172517931294828,0.0022650056625141564,5.3067240715026855,9.327555465698243,20260328_080537_507503,160,26,30,812.0,1.0
G4,A_sigma_1,a_0p4,0.4,1,20260327_231838_447924,8.120434761047363,6.180198669433594,4148.5810546875,-5.117711544036865,0.2314080785201963,0.023405058512646282,0.00018875047187617969,5.300751686096191,9.18229160308838,20260328_080537_647349,160,29,35,918.0,1.0
G4,A_sigma_1,a_0p4,0.4,2,20260327_231955_851002,8.228378295898438,6.433850288391113,4224.07421875,-5.713284015655518,0.17138542846357116,0.011513778784446961,0.003775009437523594,5.194764137268066,9.090924835205078,20260328_080537_789363,160,25,37,950.0,1.0
G3,A_sigma_3,a_0p02,0.02,0,20260327_230637_178133,3.998702049255371,3.2348721027374268,1750.0604248046875,-1.8062777519226074,0.22885572139303484,0.04554152315346345,0.011098354381936472,0.0,0.0,20260328_080537_926917,160,31,47,1162.0,1.0
G3,A_sigma_3,a_0p02,0.02,1,20260327_230741_338336,3.588348627090454,2.6568996906280518,1451.1944580078125,-1.140851616859436,0.3231917336394948,0.03654802908534252,0.0013394565633371603,0.0,0.0,20260328_080538_071195,160,30,34,900.0,1.0
G3,A_sigma_3,a_0p02,0.02,2,20260327_230844_329648,3.337947130203247,2.5958428382873535,1401.8565673828125,-0.9291031956672668,0.3266360505166475,0.04037504783773441,0.0036356678147722926,0.0,0.0,20260328_080538_214981,160,23,36,926.0,1.0
G3,A_sigma_3,a_0p03,0.03,0,20260327_230946_969765,3.42383074760437,2.5749130249023438,1468.071044921875,-0.3764353394508362,0.41006505931879067,0.06180635285112897,0.006123230003827019,0.0,0.0,20260328_080538_359840,160,20,32,840.0,1.0
G3,A_sigma_3,a_0p03,0.03,1,20260327_231051_004502,3.364889144897461,2.568436622619629,1453.97021484375,-0.4234369695186615,0.3886337543053961,0.05970149253731343,0.008228090317642557,0.0,0.0,20260328_080538_501498,160,23,36,926.0,1.0
G3,A_sigma_3,a_0p03,0.03,2,20260327_231155_026405,3.37217116355896,2.4415478706359863,1481.621826171875,0.5604750514030457,0.5028702640642939,0.08687332567929583,0.007654037504783774,0.0,0.0,20260328_080538_639852,160,25,46,1130.0,1.0
G3,A_sigma_3,a_0p04,0.04,0,20260327_231258_849435,3.551138401031494,2.727567434310913,1516.961669921875,-0.7570502758026123,0.3861461921163414,0.046689628779181015,0.006123230003827019,0.0,0.0,20260328_080538_785382,160,23,36,926.0,1.0
G3,A_sigma_3,a_0p04,0.04,1,20260327_231402_037943,3.4945755004882812,2.7106919288635254,1554.022705078125,-0.23336143791675568,0.42613853807883656,0.07175660160734787,0.005931879066207424,0.0,0.0,20260328_080538_926490,160,21,43,1062.0,1.0
G3,A_sigma_3,a_0p04,0.04,2,20260327_231505_958679,3.3885726928710938,2.6389267444610596,1453.596923828125,-0.6574916243553162,0.3848067355530042,0.046115575966322236,0.0030616150019135095,0.0,0.0,20260328_080539_064674,160,46,44,1132.0,1.0
G3,A_sigma_3,a_0p05,0.05,0,20260327_231609_668149,3.4716882705688477,2.66007924079895,1496.85009765625,-0.5936595797538757,0.3706467661691542,0.05702257941063911,0.007845388442403367,0.0,0.0,20260328_080539_203690,160,21,43,1062.0,1.0
G3,A_sigma_3,a_0p05,0.05,1,20260327_231713_668030,3.651947021484375,2.9028303623199463,1557.879638671875,-1.376680612564087,0.303291236127057,0.03960964408725603,0.0028702640642939152,0.0,0.0,20260328_080539_338576,160,46,44,1132.0,1.0
G3,A_sigma_3,a_0p05,0.05,2,20260327_231814_932296,3.324097156524658,2.601968288421631,1462.1158447265625,-0.3600679337978363,0.40566398775354,0.06333716035208573,0.006314580941446613,0.0,0.0,20260328_080539_473683,160,32,31,844.0,1.0
G3,A_sigma_3,a_0p07,0.07,0,20260327_232113_148417,3.643033742904663,2.9151926040649414,1564.205810546875,-1.2678089141845703,0.3340987370838117,0.03884424033677765,0.0026789131266743206,0.0,0.0,20260328_080539_609075,160,31,37,962.0,1.0
G3,A_sigma_3,a_0p07,0.07,1,20260327_232216_825698,3.6180362701416016,2.8784756660461426,1592.682861328125,-0.8215265870094299,0.38078836586299275,0.055874473784921545,0.004783773440489858,0.0,0.0,20260328_080539_753165,160,35,44,1110.0,1.0
G3,A_sigma_3,a_0p07,0.07,2,20260327_232319_989878,3.6371288299560547,2.957630157470703,1607.0599365234375,-1.020955204963684,0.3716035208572522,0.046880979716800615,0.0036356678147722926,0.0,0.0,20260328_080539_892625,160,29,42,1058.0,1.0
G3,A_sigma_3,a_0p09,0.09,0,20260327_232423_917488,4.05803108215332,3.2647714614868164,1729.55859375,-1.9665100574493408,0.29544584768465365,0.02468427095292767,0.00019135093761959434,0.0,0.0,20260328_080540_028426,160,16,38,952.0,1.0
G3,A_sigma_3,a_0p09,0.09,1,20260327_232524_949730,4.095902919769287,3.2788760662078857,1831.80615234375,-1.25968337059021,0.3492154611557597,0.05951014159969384,0.006505931879066207,0.0,0.0,20260328_080540_170007,160,37,38,994.0,1.0
G3,A_sigma_3,a_0p09,0.09,2,20260327_232629_078818,3.8416411876678467,3.1493074893951416,1684.13525390625,-1.4368723630905151,0.35667814772292383,0.0338691159586682,0.001722158438576349,0.0,0.0,20260328_080540_308963,160,34,69,1608.0,1.0
G3,A_sigma_3,a_0p1,0.1,0,20260327_232731_789370,4.104325771331787,3.3239052295684814,1792.2052001953125,-1.639281988143921,0.35744355147340223,0.03463451970914658,0.0007654037504783774,0.0,0.0,20260328_080540_452120,160,23,40,1006.0,1.0
G3,A_sigma_3,a_0p1,0.1,1,20260327_232835_387781,3.9882113933563232,3.2632970809936523,1731.761962890625,-1.7838985919952393,0.3153463451970915,0.029276693455797934,0.0009567546880979717,0.0,0.0,20260328_080540_592644,160,26,58,1372.0,1.0
G3,A_sigma_3,a_0p1,0.1,2,20260327_232937_937414,3.9893577098846436,3.2418601512908936,1712.940185546875,-1.8885743618011475,0.2998469192499043,0.023153463451970915,0.0009567546880979717,0.0,0.0,20260328_080540_732722,160,44,51,1268.0,1.0
G3,A_sigma_3,a_0p2,0.2,0,20260327_233041_430344,5.9376912117004395,4.738115310668945,2715.737060546875,-3.4884591102600098,0.26827401454267125,0.024875621890547265,0.0015308075009567547,0.0,0.0,20260328_080540_871652,160,25,58,1370.0,1.0
