scenario,group,a_tag,linex_a,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maint_count,early_count,fail_count,total_cost,maintenance_utilization,n_seeds,rmse_std,mae_std,nasa_std,bias_std,over_rate_std,danger_over_5_std,danger_over_10_std,pred_std_mean_std,pred_std_p90_std,maint_count_std,early_count_std,fail_count_std,total_cost_std,maintenance_utilization_std
A_sigma_3,G3,a_0p2,0.2,5.77258825302124,4.530150254567464,2604.8233235677085,-3.2850236097971597,0.27841561423650973,0.02123995407577497,0.0015308075009567547,0.0,0.0,160.0,33.333333333333336,52.0,1266.6666666666667,1.0,3,0.3283379418488431,0.31900758794446593,197.81510633019164,0.3517834723441536,0.012917251306343434,0.0031847143086669054,0.0015308075009567547,0.0,0.0,0.0,7.234178138070234,5.291502622129181,91.48406054244279,0.0
A_sigma_3,G3,a_0p3,0.3,6.683431307474772,5.323500951131185,3181.2347819010415,-4.187185764312744,0.2333205766041587,0.027809669600714376,0.0019135093761959432,0.0,0.0,160.0,33.333333333333336,46.333333333333336,1153.3333333333333,1.0,3,0.474621327180972,0.4379621077184175,280.7612336431498,0.8818160722683509,0.06730586195963391,0.013890197819942543,0.0018845881748557414,0.0,0.0,0.0,2.88675134594813,1.5275252316519468,32.14550253664317,0.0
A_sigma_3,G3,a_0p4,0.4,7.904714107513428,6.396571795145671,3988.7484537760415,-5.774410406748454,0.15282561551218268,0.010651868860824082,6.378364587319811e-05,0.0,0.0,160.0,26.666666666666668,49.666666666666664,1206.6666666666667,1.0,3,0.3456536442647391,0.3559739569140071,253.10950613431544,0.5553107075052209,0.034210814971663124,0.008398395340657281,0.00011047651534436007,0.0,0.0,0.0,12.662279942148386,6.658328118479393,114.37365664056267,0.0
A_sigma_3,G4,a_0p02,0.02,3.7276403109232583,2.8728949228922525,1569.8017578125,-1.2719915509223938,0.3143895905089935,0.04235234085980355,0.00574052812858783,5.647977352142334,10.134048461914062,160.0,23.333333333333332,33.666666666666664,880.0,1.0,3,0.31299949401860766,0.3307037398461582,177.8349577687768,0.4528707246649278,0.06446368570324779,0.004389964742331873,0.005568936934885285,0.12064619308149667,0.18621945595861875,0.0,5.507570547286101,4.0414518843273814,71.18988692223074,0.0
A_sigma_3,G4,a_0p03,0.03,3.4807225863138833,2.6093808015187583,1522.3927001953125,-0.05066330234209696,0.46753412425054214,0.07162903431560148,0.007590253858910575,5.666104157765706,10.147312959035238,160.0,18.666666666666668,33.666666666666664,870.6666666666666,1.0,3,0.049728987159598066,0.020758946845119263,46.3973298795689,0.5553435854653463,0.08392354868908707,0.016485450581530992,0.0013024989065354082,0.06460114589342189,0.13990325906181802,0.0,7.76745346515403,4.725815626252608,102.57355084685979,0.0
A_sigma_3,G4,a_0p04,0.04,3.585040251413981,2.7445621490478516,1554.0672607421875,-0.49932833512624103,0.42046179359612196,0.058999872432708246,0.005612960836841434,5.685227235158284,10.16524855295817,160.0,20.666666666666668,32.333333333333336,848.0,1.0,3,0.09436974517596235,0.05256073698237365,50.07919279677011,0.268426480894935,0.029817814106075258,0.01244565876430214,0.0015584630339163946,0.08518459807159301,0.12567744675090067,0.0,15.143755588800731,4.041451884327381,74.72616676907762,0.0
A_sigma_3,G4,a_0p05,0.05,3.574597199757894,2.762566328048706,1541.2101236979167,-0.746068020661672,0.37670621252710806,0.05549177190968236,0.00574052812858783,5.69114351272583,10.19455067316691,160.0,22.333333333333332,31.666666666666668,838.0,1.0,3,0.14579946291859044,0.14382079168979475,36.84160426440577,0.5451705272243528,0.05747709926892649,0.012115703113874271,0.002574363575789076,0.023437988648219457,0.06539804080555288,0.0,11.718930554164631,5.686240703077327,125.2836781069266,0.0
A_sigma_3,G4,a_0p07,0.07,3.734376589457194,2.9510397911071777,1623.8301595052083,-0.9969318310419718,0.3746013522132925,0.05121826763617809,0.004145936981757877,5.635374228159587,10.075425465901693,160.0,24.333333333333332,31.333333333333332,835.3333333333334,1.0,3,0.029100587612481382,0.052367519521983555,30.68405512732611,0.21500258796233285,0.023599345606558055,0.0076572260229411495,0.0013440048160291795,0.08051953269910182,0.09857991210596799,0.0,7.234178138070235,6.027713773341707,121.03443036315467,0.0
A_sigma_3,G4,a_0p09,0.09,4.103541533152263,3.26779572168986,1790.043701171875,-1.5061123768488567,0.3428370965684399,0.04279882638091593,0.0031891822936599055,5.603212197621663,9.96018648147583,160.0,19.333333333333332,44.0,1078.6666666666667,1.0,3,0.12645669113019062,0.062580127681333,77.30181603440533,0.37377043554149714,0.037727851303793386,0.01855446415031538,0.0031110469188052555,0.1270230209409489,0.17116944822516003,0.0,14.011899704655802,16.3707055437449,299.44170272915113,0.0
A_sigma_3,G4,a_0p1,0.1,4.1193305651346845,3.301886002222697,1779.930419921875,-1.7193071047465007,0.3356295445847685,0.03284857762469703,0.0012118892715907643,5.624806722005208,10.03145138422648,160.0,14.0,41.0,1008.0,1.0,3,0.051508683179153816,0.03951487792623451,37.71183518786906,0.12331339819143852,0.026755623897448802,0.004785048943362945,0.00011047651534436,0.05634024468686172,0.05167706091640317,0.0,4.58257569495584,9.643650760992955,183.85864135253476,0.0
